raCode,raName,rbCode,rbName
ra01,AUS,rc01,AUS
ra02,AUT,rc02,AUT
ra03,BEL,rc03,BEL
ra04,BGR,rc04,BGR
ra05,BRA,rc05,BRA
ra06,CAN,rc06,CAN
ra07,CHN,rc07,CHN
ra08,CYP,rc08,CYP
ra09,CZE,rc09,CZE
ra10,DEU,rc10,DEU
ra11,DNK,rc11,DNK
ra12,ESP,rc12,ESP
ra13,EST,rc13,EST
ra14,FIN,rc14,FIN
ra15,FRA,rc15,FRA
ra16,GBR,rc16,GBR
ra17,GRC,rc17,GRC
ra18,HUN,rc18,HUN
ra19,IDN,rc37,ZRoW
ra20,IND,rc19,IND
ra21,IRL,rc20,IRL
ra22,ITA,rc21,ITA
ra23,JPN,rc22,JPN
ra24,KOR,rc37,ZRoW
ra25,LTU,rc23,LTU
ra26,LUX,rc24,LUX
ra27,LVA,rc25,LVA
ra28,MEX,rc26,MEX
ra29,MLT,rc27,MLT
ra30,NLD,rc28,NLD
ra31,POL,rc29,POL
ra32,PRT,rc30,PRT
ra33,ROM,rc31,ROM
ra34,RUS,rc32,RUS
ra35,SVK,rc33,SVK
ra36,SVN,rc34,SVN
ra37,SWE,rc35,SWE
ra38,TUR,rc37,ZRoW
ra39,TWN,rc07,CHN
ra40,USA,rc36,USA
ra41,ZRoW,rc37,ZRoW
