saCode,saName,sbCode,sbName
sa01,"Agriculture, Hunting, Forestry and Fishing",sc01,All Commodities
sa02,Mining and Quarrying,sc01,All Commodities
sa03,"Food, Beverages and Tobacco",sc01,All Commodities
sa04,Textiles and Textile Products,sc01,All Commodities
sa05,"Leather, Leather and Footwear",sc01,All Commodities
sa06,Wood and Products of Wood and Cork,sc01,All Commodities
sa07,"Pulp, Paper, Paper , Printing and Publishing",sc01,All Commodities
sa08,"Coke, Refined Petroleum and Nuclear Fuel",sc01,All Commodities
sa09,Chemicals and Chemical Products,sc01,All Commodities
sa10,Rubber and Plastics,sc01,All Commodities
sa11,Other Non-Metallic Mineral,sc01,All Commodities
sa12,Basic Metals and Fabricated Metal,sc01,All Commodities
sa13,"Machinery, Nec",sc01,All Commodities
sa14,Electrical and Optical Equipment,sc01,All Commodities
sa15,Transport Equipment,sc01,All Commodities
sa16,"Manufacturing, Nec; Recycling",sc01,All Commodities
sa17,"Electricity, Gas and Water Supply",sc01,All Commodities
sa18,Construction,sc01,All Commodities
sa19,"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",sc01,All Commodities
sa20,"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",sc01,All Commodities
sa21,"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",sc01,All Commodities
sa22,Hotels and Restaurants,sc01,All Commodities
sa23,Inland Transport,sc01,All Commodities
sa24,Water Transport,sc01,All Commodities
sa25,Air Transport,sc01,All Commodities
sa26,Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,sc01,All Commodities
sa27,Post and Telecommunications,sc01,All Commodities
sa28,Financial Intermediation,sc01,All Commodities
sa29,Real Estate Activities,sc01,All Commodities
sa30,Renting of M&Eq and Other Business Activities,sc01,All Commodities
sa31,Public Admin and Defence; Compulsory Social Security,sc01,All Commodities
sa32,Education,sc01,All Commodities
sa33,Health and Social Work,sc01,All Commodities
sa34,"Other Community, Social and Personal Services",sc01,All Commodities
sa35,Private Households with Employed Persons,sc01,All Commodities
