raCode,raName,rbCode,rbName
ra01,AUS,rb03,ZRoW
ra02,AUT,rb03,ZRoW
ra03,BEL,rb03,ZRoW
ra04,BGR,rb03,ZRoW
ra05,BRA,rb03,ZRoW
ra06,CAN,rb03,ZRoW
ra07,CHN,rb03,ZRoW
ra08,CYP,rb03,ZRoW
ra09,CZE,rb03,ZRoW
ra10,DEU,rb02,DEU
ra11,DNK,rb03,ZRoW
ra12,ESP,rb03,ZRoW
ra13,EST,rb03,ZRoW
ra14,FIN,rb03,ZRoW
ra15,FRA,rb03,ZRoW
ra16,GBR,rb03,ZRoW
ra17,GRC,rb03,ZRoW
ra18,HUN,rb03,ZRoW
ra19,IDN,rb03,ZRoW
ra20,IND,rb03,ZRoW
ra21,IRL,rb03,ZRoW
ra22,ITA,rb03,ZRoW
ra23,JPN,rb03,ZRoW
ra24,KOR,rb03,ZRoW
ra25,LTU,rb03,ZRoW
ra26,LUX,rb03,ZRoW
ra27,LVA,rb03,ZRoW
ra28,MEX,rb03,ZRoW
ra29,MLT,rb03,ZRoW
ra30,NLD,rb03,ZRoW
ra31,POL,rb03,ZRoW
ra32,PRT,rb03,ZRoW
ra33,ROM,rb03,ZRoW
ra34,RUS,rb03,ZRoW
ra35,SVK,rb03,ZRoW
ra36,SVN,rb03,ZRoW
ra37,SWE,rb03,ZRoW
ra38,TUR,rb03,ZRoW
ra39,TWN,rb03,ZRoW
ra40,USA,rb01,USA
ra41,ZRoW,rb03,ZRoW
